Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/extract,11110,0,3,5.079102574260903,1.8672999995033024,743.8736000003701,19084.6,93.59372681746616,0.0,3,3,4,4,5,7,9,10,580,730,740
,Aggregated,11110,0,3,5.079102574260903,1.8672999995033024,743.8736000003701,19084.6,93.59372681746616,0.0,3,3,4,4,5,7,9,10,580,730,740
